"Domain Zone","# of domains","In Public Suffix","Whois","% of TLD"
"in.ua","15712","Yes","Yes","4% of ua"
"in.us","130","Yes","Yes","<1% of us"
"ind.br","7758","Yes","Yes","<1% of br"
"ind.in","4503","Yes","Yes","<1% of in"
"indie.se","5","No","Yes","<1% of se"
"inf.br","2984","Yes","Yes","<1% of br"
"info.at","17176","Yes","Yes","1% of at"
"info.hu","615","Yes","Yes","<1% of hu"
"info.ke","10","No","Yes","<1% of ke"
"info.pl","7885","Yes","Yes","1% of pl"
"info.ro","400","Yes","Yes","<1% of ro"
"info.tr","629","Yes","Yes","<1% of tr"
"info.vn","298","Yes","No","<1% of vn"
"int.ar","15","Yes","No","<1% of ar"
"int.mw","1","Yes","No","<1% of mw"
"int.ni","1","Yes","No","3% of ni"
"int.vn","1","Yes","No","<1% of vn"
"io.ua","383","No","Yes","<1% of ua"
"isa.us","1","Yes","Yes","<1% of us"
"its.me","16","Yes","Yes","<1% of me"
"ivanovo.su","11","Yes","Yes","<1% of su"
"iwi.nz","69","Yes","Yes","<1% of nz"
"jambyl.su","1","No","Yes","<1% of su"
"jaworzno.pl","312","Yes","Yes","<1% of pl"
"jgora.pl","442","Yes","Yes","<1% of pl"
"jl.cn","446","Yes","No","<1% of cn"
"jor.br","381","Yes","Yes","<1% of br"
"js.cn","1074","Yes","No","<1% of cn"
"jx.cn","575","Yes","No","<1% of cn"
"k.se","11","Yes","Yes","<1% of se"
"k12.il","24","Yes","No","<1% of il"
"k12.tr","3763","Yes","Yes","1% of tr"
"kalisz.pl","904","Yes","Yes","<1% of pl"
"kalmykia.ru","11","Yes","Yes","<1% of ru"
"kalmykia.su","3","Yes","Yes","<1% of su"
"kaluga.su","21","Yes","Yes","<1% of su"
"karacol.su","2","No","Yes","<1% of su"
"karaganda.su","12","No","Yes","<1% of su"
"karelia.su","11","Yes","Yes","<1% of su"
"karpacz.pl","440","Yes","Yes","<1% of pl"
"katowice.pl","2264","Yes","Yes","<1% of pl"
"kg.kr","97","Yes","Yes","<1% of kr"
"kh.ua","2079","Yes","Yes","1% of ua"
"khakassia.su","5","Yes","Yes","<1% of su"
"kharkov.ua","1824","Yes","Yes","<1% of ua"
"kids.us","5","Yes","Yes","<1% of us"
"kiev.ua","24348","Yes","Yes","6% of ua"
"kingly.se","5","No","Yes","<1% of se"
"kiwi.nz","314","Yes","Yes","<1% of nz"
"km.ua","944","Yes","Yes","<1% of ua"
"kolobrzeg.pl","562","Yes","Yes","<1% of pl"
"konin.pl","672","Yes","Yes","<1% of pl"
"kr.ua","503","Yes","Yes","<1% of ua"
"krakow.pl","2612","Yes","Yes","<1% of pl"
"krasnodar.su","50","Yes","Yes","<1% of su"
"ks.ua","1272","Yes","Yes","<1% of ua"
"ks.us","23","Yes","Yes","<1% of us"
"kurgan.su","8","Yes","Yes","<1% of su"
"kustanai.ru","2","Yes","Yes","<1% of ru"
"kustanai.su","1","No","Yes","<1% of su"
"ky.us","29","Yes","Yes","<1% of us"
"kyoto.jp","136","Yes","Yes","<1% of jp"
"l.se","5","Yes","Yes","<1% of se"
"la.us","18","Yes","Yes","<1% of us"
"lebork.pl","281","Yes","Yes","<1% of pl"
"legnica.pl","583","Yes","Yes","<1% of pl"
"lenug.su","4","Yes","Yes","<1% of su"
"lg.jp","928","Yes","Yes","<1% of jp"
"lg.ua","1471","Yes","Yes","<1% of ua"
"ln.cn","427","Yes","No","<1% of cn"
"lnu.se","9604","No","Yes","1% of se"
"lomza.pl","354","Yes","Yes","<1% of pl"
"ltd.gi","1","Yes","No","<1% of gi"
"ltd.uk","3654","Yes","Yes","<1% of uk"
"lubin.pl","596","Yes","Yes","<1% of pl"
"lukow.pl","323","Yes","Yes","<1% of pl"
"lviv.ua","3119","Yes","Yes","1% of ua"
"m.se","78","Yes","Yes","<1% of se"
"ma.us","198","Yes","Yes","<1% of us"
"malbork.pl","371","Yes","Yes","<1% of pl"
"malopolska.pl","826","Yes","Yes","<1% of pl"
"mangyshlak.su","1","No","Yes","<1% of su"
"maori.nz","248","Yes","Yes","<1% of nz"
"marine.ru","16","Yes","Yes","<1% of ru"
"mazowsze.pl","459","Yes","Yes","<1% of pl"
"mazury.pl","629","Yes","Yes","<1% of pl"
"mb.ca","1097","Yes","Yes","<1% of ca"
"md.us","58","Yes","Yes","<1% of us"
"me.ke","39","No","Yes","<1% of ke"
"me.uk","22364","Yes","Yes","<1% of uk"
"me.us","40","Yes","Yes","<1% of us"
"med.br","2168","Yes","Yes","<1% of br"
"med.pl","158","Yes","Yes","<1% of pl"
"media.pl","429","Yes","Yes","<1% of pl"
"mi.us","177","Yes","Yes","<1% of us"
"mielec.pl","505","Yes","Yes","<1% of pl"
"mielno.pl","356","Yes","Yes","<1% of pl"
"mil.ae","6","Yes","Yes","<1% of ae"
"mil.al","2","Yes","Yes","<1% of al"
"mil.ar","36","Yes","No","<1% of ar"
"mil.bo","4","Yes","No","<1% of bo"
"mil.by","7","Yes","Yes","<1% of by"
"mil.cl","19","Yes","Yes","<1% of cl"
"mil.cn","27","Yes","No","<1% of cn"
"mil.co","119","Yes","Yes","<1% of co"
"mil.gh","2","Yes","No","<1% of gh"
"mil.gt","6","Yes","No","<1% of gt"
"mil.hn","2","Yes","Yes","<1% of hn"
"mil.in","3","Yes","Yes","<1% of in"
"mil.iq","2","Yes","No","2% of iq"
"mil.jo","10","Yes","Yes","1% of jo"
"mil.kg","2","Yes","No","<1% of kg"
"mil.kr","51","Yes","Yes","<1% of kr"
"mil.kz","1","Yes","No","<1% of kz"
"mil.my","21","Yes","No","<1% of my"
"mil.ng","8","Yes","No","<1% of ng"
"mil.ni","3","Yes","No","8% of ni"
"mil.no","82","Yes","Yes","<1% of no"
"mil.nz","24","Yes","Yes","<1% of nz"
"mil.pe","13","Yes","Yes","<1% of pe"
